Location,Children (0-18),Adults (19-64),Total
United States,29121400,28729400,57850800
Alabama,493400,324200,817600
Alaska,62700,75300,138000
Arizona,676800,734100,1410900
Arkansas,383300,341900,725200
California,3993100,5057300,9050400
Colorado,440300,500500,940800
Connecticut,273400,360800,634200
Delaware,79800,101900,181700
District of Columbia,64900,99500,164400
Florida,1821000,1290600,3111600
Georgia,1010800,559200,1570000
Hawaii,98800,107700,206500
Idaho,166200,87200,253400
Illinois,1079100,1066600,2145700
Indiana,545100,501100,1046200
Iowa,274600,265700,540300
Kansas,217000,135000,352000
Kentucky,444900,597200,1042100
Louisiana,606800,611200,1218000
Maine,81500,114800,196300
Maryland,458000,515900,973900
Massachusetts,489000,871100,1360100
Michigan,846400,1141000,1987400
Minnesota,414400,494900,909300
Mississippi,362000,232900,594900
Missouri,467300,326000,793300
Montana,97800,101000,198800
Nebraska,137300,84400,221700
Nevada,251200,266700,517900
New Hampshire,78300,90100,168400
New Jersey,621400,655800,1277200
New Mexico,279000,336000,615000
New York,1748700,2645800,4394500
North Carolina,989600,634100,1623700
North Dakota,38100,34600,72700
Ohio,978400,1181600,2160000
Oklahoma,408800,200700,609500
Oregon,359700,459000,818700
Pennsylvania,1015900,1217000,2232900
Rhode Island,80700,127600,208300
South Carolina,500600,353300,853900
South Dakota,62700,36800,99500
Tennessee,665000,552300,1217300
Texas,2951300,1277500,4228800
Utah,159500,123500,283000
Vermont,48100,73700,121800
Virginia,517500,342400,859900
Washington,676800,726600,1403400
West Virginia,175700,242100,417800
Wisconsin,401400,431200,832600
Wyoming,27200,21700,48900
Puerto Rico,387600,850200,1237800
